ID,Catched_time,Instrument,Sent_channel,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
2039724212,2023-12-02 13:02,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,{'margin_type': 'Empty'},1.0242$, пока не ставлю!,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-02 13:30,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Empty,1.0242$, пока не ставлю!,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 08:25,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$, пока не ставлю!a,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 08:33,ARB|USDT,Bot testing channel 2,⏫Long,x50,Cross,1.0242$,поканеставлю!a,1.0344$-1.0472$-1.0806$-Open
2039724212,2023-12-04 09:05,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$, пока не ставлю!a,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 09:06,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$, пока не ставлю!a,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 09:13,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$, пока не ставлю!a,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 09:15,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$, пока не ставлю!a,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 09:15,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$, пока не ставлю!a,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:04,ARB|USDT,Bot testing channel 2,⏫Лонг, x50 ,Cross,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:09,ARB|USDT,Bot testing channel 2,⏫Long, x50,Empty,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:11,ARB|USDT,Bot testing channel 2,⏫Long, x50,Empty,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:14,ARB|USDT,Bot testing channel 2,⏫Long, x50,Empty,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:17,ARB|USDT,Bot testing channel 2,⏫Long, x50,Empty,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:18,ARB|USDT,Bot testing channel 2,⏫Long, x50,Cross,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:21,ARB|USDT,Bot testing channel 2,⏫Лонг, x50,Cross,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 10:23,ARB|USDT,Bot testing channel 2,⏫Лонг, x50,Empty,1.0242$,25%-35%,1.0344$ - 1.0472$ - 1.0806$- Open
2039724212,2023-12-04 17:25,DYDX|USDT,Bot testing channel 2,⏬SHORT, 15x ,Empty, 3.2170$, 3.410," 3.164 , 3.121 , 3.089"
