ID,Channel_name,Channel_link,Admin,Rate,Confidence_rate,Signal_rate,Signals,Workspace,Instrument,Tendency,Leverage,Margin_type,Entrance_point,Stop_loss,Take_profit
2039724212,Bot Testing channel 2,,@adm_bruce/,50,50,50,,,МОНЕТА: $,LONG/SHORT,leverage,,ВХОД:,СТОП-ЛОСС:,Краткосрочные
,,,,,,,,DEF,,,,DEF,,,
